customer_id,customer_name,city,age,gender,email,join_date
C0001,Miss Judith Ali,Sheffield,32,Female,graeme66@example.com,2023-11-01
C0002,Lawrence Roberts,London,32,Male,dorothybartlett@example.com,2023-09-07
C0003,Eileen Taylor,Edinburgh,43,Female,pricesharon@example.org,2023-07-08
C0004,Katherine Taylor,Manchester,31,Female,kathleenbevan@example.com,2026-06-03
C0005,Marilyn Clark,Leeds,59,Female,hewittmandy@example.com,2024-02-04
C0006,Eric Flynn,Glasgow,59,Female,amy93@example.net,2025-11-09
C0007,Jodie McDonald,Birmingham,34,Male,thompsongeorgina@example.org,2023-11-01
C0008,Alexandra Moore,Leeds,65,Female,apatel@example.com,2024-05-24
C0009,Miss Linda Rose,Cardiff,45,Female,tracyfisher@example.org,2024-05-20
C0010,Kieran Ferguson,Edinburgh,32,Male,smithjayne@example.net,2025-02-17
C0011,Eleanor Adams,Sheffield,49,Male,tlaw@example.org,2024-10-16
C0012,Katie Barnes-Jones,London,25,Male,roger26@example.com,2025-08-26
C0013,Miss Joan Taylor,Birmingham,68,Female,mortonmolly@example.org,2025-07-13
C0014,Duncan Lloyd,Cardiff,22,Female,davisjeffrey@example.org,2026-02-28
C0015,Ms Lesley Wade,Glasgow,56,Female,bradley50@example.net,2024-08-17
C0016,Kimberley Newton,Sheffield,34,Male,billy32@example.com,2026-01-04
C0017,Miss Carly Read,Manchester,61,Female,emmanicholls@example.org,2023-09-03
C0018,Jemma Manning,Edinburgh,25,Female,abbie26@example.com,2025-12-13
C0019,Mrs Marion Clarke,Glasgow,28,Female,keith44@example.org,2025-02-24
C0020,Daniel Jackson,London,64,Female,lynnehamilton@example.com,2023-11-29
C0021,Leanne Reed,Sheffield,66,Male,jayallen@example.com,2024-07-24
C0022,Bethan Tyler,Sheffield,24,Female,shortvictor@example.org,2025-09-13
C0023,Nicola Evans,Sheffield,56,Male,charlie20@example.com,2024-05-31
C0024,Dr Shane Lyons,Birmingham,41,Male,dorothyanderson@example.org,2026-04-20
C0025,Jane Shaw,Sheffield,67,Male,mfoster@example.net,2025-03-21
C0026,Tracy Robinson,Cardiff,38,Female,xtomlinson@example.com,2023-11-26
C0027,William Campbell,London,25,Female,patelliam@example.com,2025-07-22
C0028,Susan Barlow,Bristol,33,Male,katierobson@example.net,2025-06-20
C0029,Mr Bernard Walker,Leeds,54,Male,julie96@example.com,2025-10-28
C0030,Allan Richardson,Manchester,64,Female,smithcharlene@example.com,2024-12-30
C0031,Louise Barnes,Manchester,66,Male,donnawebster@example.com,2024-02-26
C0032,Neil Sims,Birmingham,60,Female,daviesmelissa@example.com,2025-01-19
C0033,Dr Elliott Watts,Sheffield,28,Female,adamsmitchell@example.org,2026-05-30
C0034,Karl Hodgson,Sheffield,56,Female,kimberleypatel@example.net,2023-11-08
C0035,Jamie Brown,Leeds,52,Male,csmith@example.net,2025-04-23
C0036,Rebecca Evans,Bristol,43,Female,owenbird@example.org,2026-04-29
C0037,Nicola Barnes,Liverpool,51,Female,sylviadoyle@example.com,2025-09-27
C0038,Georgia Rose,Manchester,33,Male,adamsrichard@example.org,2025-06-05
C0039,Mitchell Price-Scott,Manchester,39,Male,rosemarybevan@example.org,2025-09-16
C0040,Alice Porter,Cardiff,53,Male,jdawson@example.org,2023-10-29
C0041,Callum Tomlinson,Cardiff,32,Male,lawrencethomas@example.com,2025-02-20
C0042,Adam Moran,Manchester,63,Male,oliverjodie@example.net,2023-10-13
C0043,Dr Lydia Hawkins,Leeds,22,Male,xgibson@example.org,2025-11-05
C0044,Andrew Campbell,Edinburgh,22,Male,wendy32@example.org,2025-07-21
C0045,Abdul O'Neill,Bristol,60,Female,lcunningham@example.org,2023-06-15
C0046,John Adams,Leeds,52,Male,jasmine18@example.net,2024-05-15
C0047,Tom White,Cardiff,54,Female,pearceharriet@example.org,2024-12-22
C0048,Dr Richard Green,Leeds,68,Female,shawjason@example.org,2025-04-17
C0049,Russell Nash,Glasgow,30,Male,bethmoss@example.net,2024-02-28
C0050,Olivia Atkinson,Manchester,60,Female,robinsonchristian@example.org,2024-05-26
C0051,Rita White-Smith,Edinburgh,45,Female,alex60@example.net,2025-05-01
C0052,Antony Vincent,Liverpool,64,Male,cooperjake@example.com,2025-06-25
C0053,Barbara Knight-Kirby,Manchester,21,Female,sandra53@example.com,2024-07-29
C0054,Mrs Paige Baker,Edinburgh,69,Male,edunn@example.org,2024-02-29
C0055,Darren Cole,Leeds,30,Male,stanleyward@example.net,2026-03-04
C0056,Miss Gillian Cox,Sheffield,46,Male,stephen99@example.net,2024-09-08
C0057,Sandra Hancock,Glasgow,29,Female,gward@example.org,2025-01-28
C0058,Nathan Rees,Liverpool,33,Male,xdennis@example.net,2023-06-27
C0059,Kathryn Roberts,Liverpool,69,Male,rlane@example.org,2024-10-20
C0060,Dr Ellie Gregory,London,59,Male,lpatterson@example.com,2025-07-26
C0061,Nathan McKenzie,Manchester,66,Male,richardsronald@example.com,2024-07-19
C0062,Mrs Michelle James,Birmingham,44,Female,deborahthomson@example.org,2024-12-27
C0063,Aimee Turner,Liverpool,31,Female,derek21@example.com,2024-05-15
C0064,Conor Powell,London,28,Female,mary12@example.org,2023-10-23
